_id,userId,firstName,middleName,lastName,email,phoneNumber,gender,doj,specializations,dob,city,state,experience,userType,subscribeNewsletter,passwords,__v
66125d506116598e0dae9e2a,Emp_0,Kaustubh,,Gupta,kaustubhgupta9860@gmail.com,8979630137,Male,09-03-2023,"['Microservices', 'Test-Driven Development', '.NET', 'Data Visualization']",07-04-2015,Bryanstad,Arizona,5,Admin,False,12345678,
66125d506116598e0dae9e2b,Emp_1,Cathy,Robert,Mata,johnbaker@example.com,(375)527-9939,Male,09-03-2023,"['Kubernetes', 'MySQL', 'C#', 'NoSQL']",07-04-2015,Bryanstad,Arizona,5,User,False,NQ@y9_Ov,
66125d506116598e0dae9e2c,Emp_2,David,Robert,Sanford,corymiller@example.com,248.611.9083,Male,16-06-2022,"['C#', 'DevOps', 'MongoDB', 'Objective-C']",16-08-1993,East Alexamouth,South Dakota,11,User,True,G)15(NdX,
66125d506116598e0dae9e2d,Emp_3,Kendra,Lauren,Sanchez,boothpatrick@example.com,001-853-345-0172x1681,Female,02-10-2022,"['HTML', 'Test-Driven Development', 'Google Cloud Platform', 'GraphQL']",30-07-1970,Christyburgh,Virginia,6,User,False,$rP2BHvI,
66125d506116598e0dae9e2e,Emp_4,Lauren,Tracy,Vargas,emorales@example.net,+1-932-448-8082x0694,Male,19-02-2024,"['NoSQL', 'Objective-C', 'Continuous Deployment', 'Continuous Integration']",07-07-1954,Robertstad,Colorado,20,User,True,h)4kTZYp,
66125d506116598e0dae9e2f,Emp_5,Kathryn,Bryan,Davis,autumnramirez@example.com,-6308,Male,05-09-2020,"['Flask', 'Angular', 'JavaScript', 'PostgreSQL']",21-05-1953,West Timothy,Montana,4,User,True,(Q)0Ws2y,
66125d506116598e0dae9e30,Emp_6,Tina,Dennis,Rose,bwood@example.net,+1-234-849-2848x903,Male,19-08-2020,"['Statistical Analysis', 'C#', 'Agile Methodologies', 'Docker']",19-09-1941,Wallacemouth,Nevada,6,User,True,%4IXkLt%,
66125d506116598e0dae9e31,Emp_7,Benjamin,Travis,Thomas,allenandrea@example.com,+1-731-328-3211x347,Male,20-02-2024,"['GraphQL', 'React', 'Penetration Testing', 'Kotlin']",08-11-1956,Natalieview,Connecticut,8,User,True,*78A1Hqu,
66125d506116598e0dae9e32,Emp_8,Brandon,Nathan,Wagner,weavernancy@example.org,943-336-6843,Male,28-01-2020,"['Microservices', 'Test-Driven Development', '.NET', 'Data Visualization']",17-02-2012,Matthewfort,New Mexico,10,User,False,0_5k#Dbg,
66125d506116598e0dae9e33,Emp_9,Patrick,Jason,Arnold,zferguson@example.com,(898)209-1253,Male,10-08-2020,"['MySQL', 'Kubernetes', 'Continuous Integration', 'Ruby']",15-03-1995,Bassstad,Oregon,7,User,False,#7OUp&cy,
66125d506116598e0dae9e34,Emp_10,Erin,Jessica,Hall,rcooley@example.net,+1-256-843-3864x5107,Female,11-09-2022,"['AWS', 'NoSQL', 'Angular', 'Objective-C']",29-05-1951,Lake Davidbury,Utah,3,User,True,)2C*qp2e,
66125d506116598e0dae9e35,Emp_11,Peggy,Christina,Herman,ojohnson@example.net,622-217-7571x521,Female,30-04-2021,"['GraphQL', 'Python', 'Statistical Analysis', 'Django']",01-11-1945,East Amandatown,Oklahoma,5,User,True,P(l4Cnh(,
66125d506116598e0dae9e36,Emp_12,Erica,Kristin,Williams,donna36@example.com,+1-402-565-1081x757,Male,26-01-2024,"['C#', 'Statistical Analysis', 'Node.js', 'Data Visualization']",29-10-2004,New David,Nebraska,18,User,True,+3@9CNlu,
66125d506116598e0dae9e37,Emp_13,Christy,Sarah,Kline,patricia66@example.com,309-398-4550,Female,04-02-2023,"['Kubernetes', 'CSS', 'Django', 'Kotlin']",30-09-1985,Conniemouth,Wyoming,15,User,True,+5nES5Dg,
66125d506116598e0dae9e38,Emp_14,William,Johnathan,Zamora,ppetersen@example.net,001-624-595-5950,Female,09-11-2021,"['Cryptography', 'JavaScript', 'Flask', 'Machine Learning']",03-05-1999,Shawnside,Maine,10,User,True,Yum%0fVb,
66125d506116598e0dae9e39,Emp_15,Danny,Julie,Oconnell,victor58@example.net,(733)345-9710x1705,Male,06-04-2021,"['MongoDB', 'Java', 'Agile Methodologies', 'PHP']",11-02-1948,East Nicholas,Oregon,13,User,False,wHg)5R8e,
66125d506116598e0dae9e3a,Emp_16,Alex,Desiree,Duke,todd46@example.net,001-528-304-8884x280,Male,16-08-2022,"['Machine Learning', 'Kubernetes', 'Continuous Deployment', 'Django']",04-10-1918,Melaniehaven,Louisiana,6,User,False,KKG)1cTm,
66125d506116598e0dae9e3b,Emp_17,Derrick,Brittany,Kelly,rrobinson@example.net,001-397-602-7900,Female,03-05-2023,"['Docker', 'RESTful API', 'Penetration Testing', 'Scrum']",27-12-1988,Watsonberg,Iowa,17,User,False,__223WWn,
66125d506116598e0dae9e3c,Emp_18,Nathan,Robert,Smith,braychristopher@example.net,(560)841-5138x930,Female,30-05-2020,"['NoSQL', 'DevOps', 'Microservices', 'JavaScript']",29-02-1940,West Suzanne,Louisiana,4,User,False,&0In)5Bc,
66125d506116598e0dae9e3d,Emp_19,Julie,Jeffrey,Peters,sjohnson@example.org,+1-256-322-4681x83949,Female,28-09-2020,"['Objective-C', 'Flask', 'Data Visualization', 'Continuous Integration']",03-04-2001,North Allisonside,Virginia,18,User,True,R%8AYfq2,
66125d506116598e0dae9e3e,Emp_20,Michael,Steve,Obrien,richardhood@example.com,001-242-721-4678x801,Male,18-02-2020,"['Python', 'Statistical Analysis', 'AWS', 'Artificial Intelligence']",16-04-1989,Ericmouth,Illinois,19,User,False,%64Nz@m!,
66125d506116598e0dae9e3f,Emp_21,Sarah,James,Crawford,williamwilliams@example.org,+1-611-901-9789x3062,Female,14-04-2022,"['Git', 'Cybersecurity', 'Flask', 'SQL']",24-05-1967,Stephanieton,New Jersey,13,User,True,*0K!LUTo,
66125d506116598e0dae9e40,Emp_22,John,Kenneth,Nelson,justinevans@example.org,9136471600,Female,16-05-2022,"['Java', 'Kubernetes', 'Angular', 'Azure']",27-05-1920,West Timothytown,New Hampshire,16,User,True,I&m5D1Ky,
