userId,Name,email,gender,specializations,doj,state,experience,trainingName,trainerName,optimizedDuration,trainingStatus,assessment_percentage_done,assessment_completion_time_in_hours,scoreAchievedInQuiz,quizPassedOrFailed,ratingGivenByTrainer
876881780,Chaddie Ghiotto,cghiotto0@nps.gov,Male,ML,4/29/2018,Illinois,9,DevOps,Angela,27,completed,100,92,32,Fail,1
9792809882,Elsey Bouts,ebouts1@wikia.com,Female,ReactJS,8/30/2007,Kansas,10,Figma,Erhard,10,pending,0,0,0,"",""
5853512271,Danya Shrigley,dshrigley2@eepurl.com,Male,Cloud,2/3/2013,Colorado,4,Figma,Felice,33,completed,100,30,58,Pass,4
5853512271,Danya Shrigley,dshrigley2@eepurl.com,Male,Cloud,2/3/2013,Colorado,4,Networking,Randie,35,in_progress,40,5,79,Pass,5
1297664554,Lissie Gymlett,lgymlett3@icio.us,Female,HtmlCSS,4/7/2014,South Carolina,14,ReactJS,Stephie,50,in_progress,40,47,35,Fail,5
7847663966,Zachariah Henrichsen,zhenrichsen4@accuweather.com,Male,ML,3/6/2018,Tennessee,16,NodeJS,Fawne,50,completed,100,13,77,Pass,2
7847663966,Zachariah Henrichsen,zhenrichsen4@accuweather.com,Male,ML,3/6/2018,Tennessee,16,Figma,Candy,44,pending,0,0,0,"",""
9354300592,Donella Armour,darmour5@aboutads.info,Female,DevOps,12/29/2013,Missouri,13,,,,,,,,,
1858534683,Dalli Spurdens,dspurdens6@ca.gov,Non-binary,Javascript,6/24/2010,Louisiana,15,DevOps,Ida,29,in_progress,2,22,8,Fail,4
1858534683,Dalli Spurdens,dspurdens6@ca.gov,Non-binary,Javascript,6/24/2010,Louisiana,15,ML,Belvia,31,in_progress,47,84,64,Pass,4
8353907322,Tally MacCafferty,tmaccafferty7@google.ca,Female,Figma,8/13/2021,Louisiana,5,ReactJS,Stephie,50,in_progress,63,39,84,Pass,2
8353907322,Tally MacCafferty,tmaccafferty7@google.ca,Female,Figma,8/13/2021,Louisiana,5,Cloud,Karilynn,35,completed,100,82,1,Fail,2
8353907322,Tally MacCafferty,tmaccafferty7@google.ca,Female,Figma,8/13/2021,Louisiana,5,DBT,Lauretta,36,pending,0,0,0,"",""
4988964100,Lily Salt,lsalt8@yolasite.com,Female,Figma,6/23/2001,Florida,17,Networking,Randie,35,in_progress,71,16,82,Pass,5
4988964100,Lily Salt,lsalt8@yolasite.com,Female,Figma,6/23/2001,Florida,17,DBT,Stephani,27,in_progress,46,64,15,Fail,5
2999115942,Dave Snookes,dsnookes9@webs.com,Male,Javascript,5/1/2004,North Carolina,15,,,,,,,,,
1185280216,Tabb Cordingley,tcordingleya@usatoday.com,Male,Javascript,8/31/2021,Arizona,10,,,,,,,,,
6478589920,Eryn McAuley,emcauleyb@icio.us,Female,Netwrking,8/24/2006,Louisiana,9,NodeJS,Farleigh,18,in_progress,96,99,44,Fail,3
6349091806,Aleece Arington,aaringtonc@ezinearticles.com,Female,Cloud,3/28/2010,Indiana,18,,,,,,,,,
131597498,Templeton Twatt,ttwattd@blogger.com,Male,GItHub,4/15/2010,Washington,5,,,,,,,,,
1303090059,Nanete Westoff,nwestoffe@t-online.de,Female,ML,3/28/2014,California,5,NodeJS,Fawne,50,in_progress,30,40,9,Fail,2
1303090059,Nanete Westoff,nwestoffe@t-online.de,Female,ML,3/28/2014,California,5,DevOps,Angela,27,pending,0,0,0,"",""
1303090059,Nanete Westoff,nwestoffe@t-online.de,Female,ML,3/28/2014,California,5,WebScraping,Gilburt,30,completed,100,24,52,Pass,3
1303090059,Nanete Westoff,nwestoffe@t-online.de,Female,ML,3/28/2014,California,5,Networking,Romonda,10,pending,0,0,0,"",""
556402497,Darcey Giacomoni,dgiacomonif@artisteer.com,Female,Azure,12/7/2007,Nevada,15,,,,,,,,,
3969117424,Sergio Bryer,sbryerg@dropbox.com,Male,NodeJS,10/30/2007,Arizona,12,,,,,,,,,
8617207878,Briant Attawell,battawellh@homestead.com,Male,HtmlCSS,11/5/2021,Missouri,12,WebScraping,Gilburt,30,completed,100,82,48,Fail,5
