trainingId,trainingName,trainingDescription,trainerId,trainerName,startDate,endDate,optimizedDuration,createdAt
1,DBT,Software Engineering tool,4962682170,Stephani,9/28/2024,10-02-2024,27,2023-05-03T02:20:57Z
2,Figma,Software Engineering tool,4392748960,Felice,08-09-2024,8/13/2024,33,2023-12-13T18:02:47Z
3,GitHub,Software Engineering tool,3056990433,Bondon,3/18/2024,3/22/2024,17,2023-08-12T17:01:26Z
4,Cloud,Software Engineering tool,3562445617,Karilynn,7/17/2024,7/21/2024,35,2024-01-28T07:07:24Z
5,Networking,Software Engineering tool,4819020427,Clem,11/21/2024,11/25/2024,30,2023-11-25T10:19:12Z
6,Networking,Software Engineering tool,8508889861,Lemar,01-09-2024,1/13/2024,23,2023-04-22T10:51:28Z
7,Javascript,Software Engineering tool,538369503,Boot,12/30/2024,01-03-2025,33,2024-03-28T01:56:00Z
8,Javascript,Software Engineering tool,2520111008,Ilsa,5/30/2024,06-03-2024,8,2024-03-16T00:56:50Z
9,DevOps,Software Engineering tool,1051085831,Dorolisa,3/28/2024,04-01-2024,50,2023-10-27T00:35:24Z
10,Azure,Software Engineering tool,8284746379,Antone,2/13/2024,2/17/2024,40,2023-12-11T11:02:37Z
11,Cloud,Software Engineering tool,2423199885,Nadya,02-06-2024,02-10-2024,32,2023-11-05T05:09:45Z
12,Figma,Software Engineering tool,3683678518,Erhard,5/16/2024,5/20/2024,10,2023-10-19T10:52:13Z
13,DevOps,Software Engineering tool,7468264109,Angela,6/22/2024,6/26/2024,27,2023-06-27T14:48:19Z
14,ReactJS,Software Engineering tool,1323248587,Stephie,6/17/2024,6/21/2024,50,2024-02-25T14:04:36Z
15,WebScraping,Software Engineering tool,6446123495,Aarika,03-04-2024,03-08-2024,7,2023-08-23T07:44:12Z
16,Figma,Software Engineering tool,9879996423,Simone,11/28/2024,12-02-2024,24,2024-03-31T13:27:11Z
17,OS,Software Engineering tool,531274340,Lotty,7/23/2024,7/27/2024,48,2023-05-22T12:28:55Z
18,Networking,Software Engineering tool,735171557,Romonda,03-06-2024,03-10-2024,10,2023-05-04T01:50:57Z
19,WebScraping,Software Engineering tool,2128663243,Gilburt,10/13/2024,10/17/2024,30,2023-08-03T20:37:22Z
20,DBT,Software Engineering tool,7145978963,Mariam,7/17/2024,7/21/2024,1,2023-11-25T12:54:18Z
21,Networking,Software Engineering tool,2260282594,Randie,09-04-2024,09-08-2024,35,2023-09-06T00:35:48Z
22,Figma,Software Engineering tool,3408496146,Candy,10/23/2024,10/27/2024,44,2024-02-20T19:53:33Z
23,NodeJS,Software Engineering tool,2989366907,Farleigh,3/16/2024,3/20/2024,18,2023-05-14T21:33:08Z
24,NodeJS,Software Engineering tool,9709993725,Fawne,01-09-2024,1/13/2024,50,2023-10-19T11:25:44Z
25,ReactJS,Software Engineering tool,1493927923,Carolin,5/16/2024,5/20/2024,39,2023-11-16T14:15:53Z
26,ML,Software Engineering tool,3469606766,Belvia,1/29/2024,02-02-2024,31,2024-01-04T21:19:32Z
27,DevOps,Software Engineering tool,2862495741,Ida,11-03-2024,11-07-2024,29,2023-11-01T09:13:23Z
28,Figma,Software Engineering tool,9320657,Meta,07-02-2024,07-06-2024,5,2024-01-31T09:09:04Z
29,OS,Software Engineering tool,4857142524,Alma,06-01-2024,06-05-2024,30,2023-08-28T02:38:22Z
30,DBT,Software Engineering tool,4578877530,Lauretta,03-06-2024,03-10-2024,36,2024-01-24T01:34:45Z
