userId,firstName,middleName,lastName,email,phoneNumber,gender,doj,specializations,dob,city,state,experience,userType,subscribeNewsletter,passwords
Emp_1,Ashley,Maria,Gonzales,amykennedy@example.net,001-401-860-9318x36916,Female,2020-06-30,"['Vue.js', 'Technical Writing', 'Continuous Integration', 'Communication']",2015-09-10,Brownview,New Jersey,20,User,False,6)s2P(0d
Emp_2,Darrell,Regina,Rocha,robinbell@example.org,786-329-5972,Female,2021-03-28,"['Azure', '.NET', 'React', 'Responsive Design']",1995-08-29,Brandonmouth,Delaware,11,Admin,False,zs&VJ1Ye
Emp_3,Jody,Daniel,Vargas,jill81@example.org,969-710-6794,Female,2020-03-08,"['Continuous Integration', 'Swift', 'Technical Writing', 'Information Security']",1915-12-22,East Tammyland,New Mexico,1,User,False,i2r*1Fuf
Emp_4,Jennifer,Tyler,Chandler,urasmussen@example.net,+1-605-548-4769x71383,Female,2024-02-15,"['MongoDB', 'Vue.js', 'Kotlin', 'CSS']",1937-11-01,Lake Rhondaside,New Jersey,17,User,True,r$0OnvKf
Emp_5,Nicole,Nicole,Smith,debraallen@example.com,980.918.7773x2409,Female,2021-02-02,"['Support', 'Artificial Intelligence', 'HTML', 'Microservices']",1912-07-19,Turnerstad,New York,19,Admin,True,!00(Js@z
Emp_6,Carla,Tina,Ramirez,caleb66@example.org,001-246-944-5042x659,Male,2020-05-04,"['RESTful API', 'Microservices', 'Flask', 'CSS']",1920-09-26,Whitestad,South Dakota,18,Admin,True,uBb^W1Qm
Emp_7,Gordon,Kurt,Pierce,rwoodard@example.net,636-743-6538x33169,Female,2020-08-15,"['SQL', 'Objective-C', 'Agile Methodologies', 'Accessibility']",1941-01-13,New Edward,Kentucky,18,Admin,False,D(1XtU*c
Emp_8,Debra,Aaron,Bradley,cfisher@example.org,001-829-834-2911x4795,Male,2020-03-05,"['Troubleshooting', 'React', 'CI/CD', 'Node.js']",1929-12-02,Ericland,Michigan,2,Admin,False,)vt0G+tA
Emp_9,Eric,Daniel,Freeman,joshuagarcia@example.org,(570)879-0393x476,Female,2022-04-25,"['Leadership', 'Angular', 'Machine Learning', 'Google Cloud Platform']",1947-01-01,East Helen,Texas,7,Admin,True,BK$3CXJe
Emp_10,Linda,Jillian,Wilkinson,blairdrew@example.net,001-436-499-9620,Male,2024-03-25,"['Django', 'Git', 'Information Security', 'Wireframing']",1980-03-14,Reginaldland,North Carolina,10,Admin,True,^1b8+QEh
